587.881,784.158,622.844,0.78%,0.09%,0.14%
592.487,784.852,623.71,0.38%,0.01%,-0.42%
594.738,784.961,621.061,-0.44%,0.22%,0.62%
592.115,786.673,624.938,0.03%,0.29%,0.12%
592.27,788.967,625.692,-0.95%,-0.17%,-0.02%
586.671,787.64,625.562,-0.13%,0.18%,-0.01%
585.893,789.094,625.499,0.08%,-0.19%,-0.23%
586.384,787.634,624.076,0.09%,0.01%,0.30%
586.927,787.723,625.967,-0.13%,0.29%,-0.07%
586.159,789.974,625.509,-0.09%,-0.20%,0.11%
585.607,788.409,626.175,0.34%,0.00%,-0.24%
587.583,788.418,624.68,,-100.00%,-100.00%
